Series_reference	Period	Data_value	Suppressed	STATUS	UNITS	Magnitude	Subject	Group	Series_title_1	Series_title_2	Series_title_3	Series_title_4	Series_title_5
MEIM.S1WA	1999.04	80267		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.05	70803		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.06	65792		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.07	66194		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.08	67259		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.09	69691		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.1	72475		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.11	79263		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	1999.12	86540		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.01	82552		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.02	81709		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.03	84126		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.04	77089		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.05	73811		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.06	70070		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.07	69873		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.08	71468		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.09	72462		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.1	74897		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.11	80928		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2000.12	88429		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.01	87530		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.02	84510		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.03	86909		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.04	80525		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.05	76860		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.06	74290		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.07	74206		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.08	76367		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.09	78031		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.1	82811		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.11	88295		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2001.12	94284		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.01	93308		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.02	94739		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.03	95116		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.04	87362		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.05	83385		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.06	78416		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.07	80034		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.08	81623		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.09	82662		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.1	85531		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.11	89223		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2002.12	96932		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.01	97033		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.02	92200		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.03	91733		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.04	87846		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.05	84722		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.06	80419		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.07	80985		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.08	84256		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.09	82167		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
